object name,RA (in degree),DEC (in degree),g magnitude,i magnitude,r magnitude
manga-8466-3704  ,169.51344,45.11303,17.594345881522052,15.382060660887738,15.917428611241746
manga-8481-3702  ,239.33914,54.671074,18.72717580118431,16.152096565417672,16.667964417431747
manga-8482-12704 ,243.58182,50.46561,18.64967581203592,17.170554678874147,17.673961028714153
manga-8484-3704  ,249.02844,44.602753,17.262816627115356,16.840825595437487,17.491232258625832
manga-8485-6103  ,233.03276,49.124825,17.966380784706594,15.88462315578178,16.376762788996366
manga-8547-12701 ,217.62997,52.707157,17.69144428074747,16.747516451521,17.200684584749574
manga-8548-12704 ,244.07472,47.9816,16.94214424034625,16.444964028740262,16.83992420254901
manga-8549-12702 ,241.27145,45.442993,17.531348955029323,15.653230796585225,16.037697386715326
manga-8550-12705 ,249.1357,39.02788,17.78699916869886,16.83315350368258,17.084898816500626
manga-8551-12705 ,233.94092,44.834797,18.81258864477458,16.39580196541083,16.806116316028955
manga-8551-3704  ,234.87364,44.648453,15.485673808419955,17.568858826685812,18.070823450124994
manga-8553-12705 ,235.46388,55.467854,16.768846430446086,15.146494981923073,15.302479353033139
manga-8553-1901  ,233.96834,57.902637,18.058176510765907,15.461338250227605,15.954274476773442
manga-8553-6102  ,233.7126,56.45108,18.02235997048863,16.912918053147767,17.3380234350031
manga-8553-9102  ,234.54184,57.603653,18.008395561457995,16.66724298454475,17.133497987332383
manga-8554-12705 ,184.93262,35.507023,18.90758558546269,16.580282713559782,17.069372908717686
manga-8554-3702  ,182.66438,36.614506,18.808427974233453,17.32186090034456,17.84935865031894
manga-8554-6102  ,182.78447,35.333008,19.140149601184618,17.16469550279605,17.60354167737388
manga-8554-6103  ,183.99738,35.717373,19.171942590755016,17.530861998987568,18.000772324427487
manga-8555-12704 ,245.19438,43.153206,18.740365204009766,17.531632018119957,17.926745476341097
manga-8555-6103  ,247.09714,43.95761,16.795045999439502,16.964314394208017,17.598045454460813
manga-8566-9101  ,113.981995,42.20336,17.312115214045008,15.383988824549856,15.82674318285352
manga-8568-9101  ,155.58076,36.58304,17.316861294883385,16.073084581579707,16.50842376092357
manga-8588-6101  ,248.45676,39.263206,19.56600167595647,16.070564024806817,16.466960916161103
manga-8591-6102  ,212.956,52.81671,18.03663740037561,17.892818055850242,18.36153459972603
manga-8592-12703 ,222.50076,54.08451,17.22806784732436,16.57351845909524,17.0872231405872
manga-8592-6101  ,222.67177,51.704468,18.549514716351275,16.01033350759166,16.4995545196339
manga-8593-12705 ,226.93745,51.45283,18.958590841774548,17.01193060429965,17.565024573645296
manga-8593-3704  ,225.62105,52.733913,16.52930445778621,17.32870042159066,17.88983578244643
manga-8593-6102  ,225.26437,51.967064,18.82906142788493,15.323818995333298,15.738427989678005
manga-8595-3703  ,221.43799,51.58082,17.879104929401194,17.25814906033512,17.76405211385242
manga-8597-3701  ,224.83553,47.56705,17.8780396445378,16.882820987844084,17.219214952075337
manga-8600-1901  ,242.58522,43.009644,17.176752743433006,16.475774756901934,16.940280442805133
manga-8600-3704  ,245.84528,41.651188,18.221130758751364,16.54059069989152,16.815766263727998
